Thn,Bln,Tgl,31710101a,31710102a,31710601a,31710701a,31710702a,31720101a,31720102a,31720301a,31720401a,31720601a,31730201a,31730501a,31740101a,31740201a,31740401a,31740402a,31740601a,31740701a,31740901a,31740902a,31741001a,31750201a,31750802a,31751001a
1991,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,3,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,4,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,5,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,6,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,7,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,8,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,9,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,10,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,11,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,12,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,13,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,14,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,15,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,16,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,17,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,18,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,19,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,20,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,21,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,22,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,23,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,24,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,25,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,26,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,27,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,28,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,29,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,30,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,31,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,1,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,3,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,4,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,5,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,6,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,7,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,8,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,9,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,10,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,11,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,12,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,13,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,14,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,15,,,,,,,,,,,,,,,,,,,,,,,,
