No,NOPOSHUJAN,WMOID,Nama,PULAU,PROV,LAT,LON
1,11720204a,96001,Stasiun Meteorologi Maimun Saleh,SUMATERA,Nanggroe Aceh Darussalam,5.87655,95.33785
2,11080603a,96009,Stasiun Meteorologi Malikussaleh,SUMATERA,Nanggroe Aceh Darussalam,5.22869,96.94749
3,11061102a,96011,Stasiun Meteorologi Sultan Iskandar Muda,SUMATERA,Nanggroe Aceh Darussalam,5.52244,95.417
4,11060702a,96013,Stasiun Geofisika Aceh Besar,SUMATERA,Nanggroe Aceh Darussalam,5.496,95.296
5,11150703a,96015,Stasiun Meteorologi Cut Nyak Dhien Nagan Raya,SUMATERA,Nanggroe Aceh Darussalam,4.04928,96.24796
6,11060302a,96017,Stasiun Klimatologi Aceh Besar,SUMATERA,Nanggroe Aceh Darussalam,5.404,95.464
7,12072606a,96031,Stasiun Klimatologi Deli Serdang,SUMATERA,Sumatera Utara,3.62114,98.71485
8,12710801a,96033,Stasiun Meteorologi Maritim Belawan,SUMATERA,Sumatera Utara,3.78824,98.71492
9,12073301a,96035,Stasiun Meteorologi Kualanamu,SUMATERA,Sumatera Utara,3.64573,98.88488
10,12070502a,96037,Stasiun Geofisika Deli Serdang,SUMATERA,Sumatera Utara,3.501,98.56
11,12081602a,96039,Stasiun Geofisika Aceh Selatan,SUMATERA,Nanggroe Aceh Darussalam,3.17333,97.28637
12,TidakAda,96041,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I,SUMATERA,Sumatera Utara,3.5397,98.64
13,12020902a,96043,Stasiun Meteorologi Silangit,SUMATERA,Sumatera Utara,2.26136,98.99357
14,12210102a,96071,Stasiun Meteorologi Aek Godang,SUMATERA,Sumatera Utara,1.55,99.45
15,12010401a,96073,Stasiun Meteorologi FL Tobing,SUMATERA,Sumatera Utara,1.55,98.88
16,12780401a,96075,Stasiun Meteorologi Binaka,SUMATERA,Sumatera Utara,1.1649,97.7036
17,12780403a,96077,Stasiun Geofisika Gunungsitoli,SUMATERA,Sumatera Utara,1.3,97.58
18,21710401a,96087,Stasiun Meteorologi Hang Nadim,SUMATERA,Kep. Riau,1.11667,104.11667
19,21020302a,96089,Stasiun Meteorologi Raja Haji Abdullah ,SUMATERA,Kep. Riau,1.03,103.38
20,21720201a,96091,Stasiun Meteorologi Raja Haji Fisabilillah,SUMATERA,Kep. Riau,0.9227,104.5289
21,14010301a,96107,Stasiun Klimatologi Kampar,SUMATERA,Riau,0.407,101.217
22,14710902a,96109,Stasiun Meteorologi Sultan Syarif Kasim II,SUMATERA,Riau,0.45924,101.44743
23,21050101a,96145,Stasiun Meteorologi Tarempa,SUMATERA,Kep. Riau,3.2,106.25
24,21030701a,96147,Stasiun Meteorologi Ranai,SUMATERA,Kep. Riau,3.91206,108.39
25,13710101e,96161,Stasiun Meteorologi Maritim Teluk Bayur,SUMATERA,Sumatera Barat,-0.99639,100.37222
26,TidakAda,96163,Stasiun Meteorologi Minangkabau,SUMATERA,Sumatera Barat,-0.79355,100.28917
27,13740201a,96165,Stasiun Geofisika Padang Panjang,SUMATERA,Sumatera Barat,-0.4663,100.3797
28,13051503a,96167,Stasiun Klimatologi Padang Pariaman,SUMATERA,Sumatera Barat,-0.54549,100.29786
29,TidakAda,96169,Stasiun Pemantau Atmosfer Global Bukit Koto Tabang,SUMATERA,Sumatera Barat,-0.2505,100.3823
30,14020902a,96171,Stasiun Meteorologi Japura,SUMATERA,Riau,-0.33,102.32
31,21040101a,96179,Stasiun Meteorologi Dabo ,SUMATERA,Kep. Riau,-0.48,104.58
